包号,RTT
1,1.9998550415039062
2,1.9998550415039062
3,2.687692642211914
4,3.695249557495117
5,4.726648330688477
6,4.724025726318359
7,4.724025726318359
8,2.432584762573242
9,2.432584762573242
10,2.9218196868896484
11,3.935098648071289
12,4.933595657348633
13,4.774570465087891
14,5.775213241577148
15,5.819559097290039
16,5.309820175170898
17,6.310462951660156
18,6.299018859863281
19,5.3005218505859375
20,5.290508270263672
21,4.289865493774414
22,6.007671356201172
23,4.7206878662109375
24,5.006074905395508
25,5.004405975341797
26,4.004001617431641
27,2.0194053649902344
28,1.008749008178711
29,1.008749008178711
30,1.1525154113769531
